country,Percentage threatened,Quality of Life Index,Rank 2022,Kaufkraftindex,Sicherheitsindex,Gesundheitsindex,Lebenshaltungskostenindex,Immobilienpreis / Einkommen,Pendler:innenzeitindex,Umweltverschmutzungsindex,Klimawandelindex,Total_Index,Threatened_species_total,Percentage of threatened mammals,Percentage of  threatened birds,Percentage of  threatened reptiles,Percentage of  threatened Amphibians,Percentage of  threatened Fish,  Percentage of  threatened Marine Fish, Percentage of  threatened  Freshwater Fish,Percentage of  threatened Vascular plants,Percentage of  threatened Mosses,Percentage of  threatened Lichens,Percentage of  threatened Invertebrates
Finnland,11.73246678,186.8,5,36.4,36.6,30.72,-6.37,-7.5,-13.8,-8,18.86666667,86.91666667,11.73246678,11.26760563,33.99209486,16.66666667,10,13.63636364,8,15.87301587,8.066971081,33.58449946,25.1317176,8.861882979
Frankreich,11.9649526,152.7,29,31.84,22.8,32,-6.56,-11.8,-17.35,-28.13333333,30,52.79666667,11.9649526,13.6,27.02020202,23.68421053,22.85714286,15.95092025,13.25301205,18.75,8.450421517,#WERT!,#WERT!,20.66037736
Dänemark,12.41639698,194.2,2,39.92,36.85,31.92,-7.31,-6.3,-14.2,-13.93333333,27.26666667,94.21333333,12.41639698,12.67605634,34.85477178,12.5,33.33333333,3.361344538,#WERT!,14.54545455,5.551747772,11.28318584,22.05588822,14.09836066
Irland,12.98394712,151.7,31,30.08,27.05,20.8,-6.67,-7,-18.95,-23.33333333,29.7,51.67666667,12.98394712,1.754385965,27.19836401,0,33.33333333,#WERT!,4.521276596,17.85714286,9.619047619,18.95973154,#WERT!,14.55284553
Slowenien,13.4751773,168.7,18,23.16,38.4,26.04,-4.73,-11.7,-13.15,-15.2,25.86666667,68.68666667,13.4751773,38.20224719,27.63157895,75,80.95238095,18.31501832,5.319148936,47.05882353,9.675550406,#WERT!,#WERT!,#WERT!
Tschechien,13.99058507,163.8,21,27.96,37.1,30.2,-4.43,-14.9,-14.7,-23.53333333,26.1,63.79666667,13.99058507,16.30434783,44.79638009,53.84615385,76.19047619,31.25,#WERT!,31.25,40.24822695,25.28216704,37.2870249,10.353125
Island,16.12903226,184.5,6,33.04,37.85,26.64,-8.66,-6.8,-10,-10.53333333,22.93333333,84.47,16.12903226,#WERT!,44,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,11.87214612,#WERT!,#WERT!,#WERT!
Ungarn,18.29008932,136.2,39,21.28,33.05,21.72,-3.46,-13.2,-17.8,-31.86666667,26.5,36.22333333,18.29008932,16.09195402,32.77310924,26.66666667,11.11111111,43.20987654,#WERT!,43.20987654,14.03895627,26.25189681,15.8041958,27.5862069
Belgien,19.58934517,155.8,26,34.52,26.65,30.2,-6.28,-6.6,-18.2,-33.2,28.66666667,55.75666667,19.58934517,21.42857143,27.77777778,40,31.57894737,20.42253521,14.14141414,34.88372093,23.26732673,26.87140115,59.06921241,10.80565101
Luxemburg,25.33645407,173.8,13,38.44,32.2,28.6,-7.21,-14,-15.85,-16.06666667,27.53333333,73.64666667,25.33645407,#WERT!,19.84732824,33.33333333,28.57142857,27.90697674,#WERT!,27.90697674,26.75736961,#WERT!,#WERT!,15.43624161
Holland,25.56497175,191.5,3,39.84,36.2,30.36,-6.77,-7.4,-13.3,-16.46666667,28.96666667,91.43,25.56497175,18.86792453,24.4047619,71.42857143,43.75,23.71134021,17.54385965,32.5,25.51971326,23.59767892,22.84040996,31.95266272
Schweiz,32.01468672,195.1,1,46.48,38.95,30.12,-11.03,-8.9,-14.2,-12.93333333,26.53333333,95.02,32.01468672,34.02061856,37.07317073,68.42105263,73.68421053,37.77777778,#WERT!,37.77777778,27.21563154,33.56461405,32.69720102,34.47722899
Deutschland,35.92974019,178.3,8,41.08,31.5,28.96,-5.96,-10.6,-15.55,-18.73333333,27.63333333,78.33,35.92974019,36.44859813,33.57142857,69.23076923,47.61904762,24.87309645,22.34042553,27.18446602,32.75261324,34.22594142,44.20168067,35.95936362
